press_name,series_id,press_rating
Le Monde,23886,3.5
Les Inrockuptibles,23886,3.5
Première,23886,3.5
Télérama,23886,3.5
Les Inrockuptibles,26113,4.5
Libération,26113,4.5
Huffington Post (FR),26113,4.0
Le Figaro,26113,4.0
Le Monde,26113,4.0
Le Point,26113,4.0
Marie Claire,26113,4.0
Télérama,26113,4.0
Ecran Large,26113,3.0
Le Parisien,25616,4.0
Télé 7 Jours,25616,4.0
Le Figaro,25616,3.5
Le Monde,25616,3.5
Télé Câble Sat,25616,3.0
Télé Z,25616,3.0
Télérama,25616,2.5
Uncle Barky,18529,4.5
Los Angeles Times,18529,4.0
Philadelphia Inquirer,18529,4.0
Variety,18529,4.0
New York Times,18529,3.5
Washington Post,18529,3.5
L'Obs,11303,4.5
Télérama,11303,4.5
Critictoo,11303,4.0
Le Monde,11303,4.0
Télé Loisirs,11303,4.0
Les Inrockuptibles,11303,3.5
Libération,11303,3.5
Hitfix,16950,4.5
Washington Post,16950,4.5
Dylanesque TV,16950,4.0
Entertainment weekly,16950,4.0
L'Express,16950,4.0
Libération,16950,4.0
Première,16950,4.0
Salon.com,16950,4.0
Slant Magazine,16950,4.0
Slate,16950,4.0
The Hollywood Reporter,16950,4.0
Time,16950,4.0
Huffington Post,16950,3.5
Huffington Post (FR),16950,3.5
Les Inrockuptibles,16950,3.5
Télé Loisirs,16950,3.5
Variety,16950,3.5
Le Monde,16950,3.0
Boston Herald,7330,5.0
Miami Herald,7330,5.0
Pittsburg Post-Gazette,7330,5.0
Salon.com,7330,5.0
TV Guide,7330,5.0
The Hollywood Reporter,7330,5.0
Wall Street Journal,7330,5.0
Hitfix,7330,4.0
Los Angeles Times,7330,4.0
New York Post,7330,4.0
Slant Magazine,7330,4.0
Washington Post,7330,4.0
Zap2It,7330,4.0
New York Daily News,7330,3.0
Newsday,274,4.5
Chicago Sun-Times,274,4.0
New York Post,274,4.0
New York Times,274,4.0
Kansas City Star,274,3.5
Los Angeles Times,274,3.5
Variety,274,3.5
People Weekly,274,2.5
Slate,274,1.5
Washington Post,274,1.0
San Francisco Chronicle,19156,5.0
Boston Herald,19156,4.0
Ecran Large,19156,4.0
Le Figaro,19156,4.0
Paris Match,19156,4.0
Première,19156,4.0
Sioux City Journal,19156,4.0
The Hollywood Reporter,19156,4.0
Variety,19156,4.0
aVoir-aLire.com,19156,4.0
Le Monde,19156,3.5
Slate,19156,3.5
Critictoo,19156,3.0
Metro,19156,3.0
Télérama,19156,3.0
TV Guide,19156,2.5
The A.V. Club,11266,5.0
Entertainment weekly,11266,4.5
Los Angeles Times,11266,4.0
Newsday,11266,4.0
Time,11266,4.0
Chicago Sun-Times,11266,3.5
Washington Post,11266,3.5
Huffington Post,11266,3.0
Boston Herald,11266,2.5
Pittsburg Post-Gazette,11266,2.5
The Wrap,24748,4.0
The Guardian,24748,3.0
RogerEbert.com,24748,2.0
The Hollywood Reporter,24748,2.0
The Telegraph,24748,2.0
Variety,24748,2.0
Washington Post,19816,3.0
New York Times,19816,2.5
Boston Globe,19816,2.0
San Francisco Chronicle,19816,1.5
The Hollywood Reporter,19816,1.5
Variety,19816,1.0
The Guardian,26062,5.0
Ecran Large,26062,4.5
Le Parisien,26062,4.5
Première,26062,4.5
RogerEbert.com,26062,4.5
indieWIRE,26062,4.5
Le Figaro,26062,4.0
Le Monde,26062,4.0
Les Echos,26062,4.0
Télérama,26062,4.0
USA Today,26062,4.0
The Hollywood Reporter,26062,3.5
Variety,26062,3.5
Libération,26062,3.0
Los Angeles Times,26062,2.5
Le Monde,22125,3.5
Le Figaro Magazine,22125,3.0
Télé 7 Jours,22125,3.0
Critictoo,23024,5.0
Le Parisien,23024,5.0
20 Minutes,23024,4.5
Entertainment weekly,23024,4.5
Le Figaro Magazine,23024,4.0
Le Monde,23024,4.0
Le Point,23024,4.0
Les Inrockuptibles,23024,4.0
RogerEbert.com,23024,4.0
Rolling Stone,23024,4.0
The Hollywood Reporter,23024,4.0
Time,23024,4.0
Télérama,23024,4.0
Vanity Fair,23024,4.0
Ecran Large,23024,3.5
USA Today,23024,3.5
Boston Herald,20677,5.0
New York Times,20677,5.0
San Francisco Chronicle,20677,5.0
The Hollywood Reporter,20677,5.0
Variety,20677,5.0
Yahoo TV,20677,5.0
Colorado Springs Gazette,20677,4.5
Ecran Large,20677,4.5
Les Inrockuptibles,20677,4.5
Libération,20677,4.5
RogerEbert.com,20677,4.5
Télérama,20677,4.5
Brain Damaged,20677,4.0
Critictoo,20677,4.0
L'Express,20677,4.0
L'Obs,20677,4.0
Le Monde,20677,4.0
USA Today,20677,4.0
Las Vegas Weekly,20677,3.0
Entertainment weekly,7157,5.0
The Hollywood Reporter,7157,5.0
Variety,7157,5.0
Hitfix,7157,4.0
Pittsburg Post-Gazette,7157,4.0
TV Squad,7157,4.0
Wall Street Journal,7157,1.5
The Hollywood Reporter,22215,5.0
Le Parisien,22215,4.0
Les Inrockuptibles,22215,4.0
TV Guide,22215,4.0
Rolling Stone,22215,3.5
Télérama,22215,3.5
Uncle Barky,22215,3.0
indieWIRE,22215,3.0
Newsday,22215,2.5
IGN France,29127,5.0
Première,29127,4.5
Le Parisien,29127,3.5
Hitfix,10214,4.5
Washington Post,10214,4.0
Entertainment weekly,10214,3.5
The Hollywood Reporter,10214,3.5
New York Post,10214,2.0
San Francisco Chronicle,10214,2.0
Le Parisien,27989,5.0
Collider,27989,4.5
Le Journal du Dimanche,27989,3.0
The Hollywood Reporter,27989,3.0
indieWIRE,27989,3.0
Le Monde,27989,2.5
Variety,27989,2.5
Vulture,27989,1.0
Le Figaro,25905,4.0
Le Parisien,25905,4.0
Variety,25905,4.0
Le Monde,25905,3.0
The Hollywood Reporter,25905,3.0
Los Angeles Times,18339,4.0
Uncle Barky,18339,3.5
Entertainment weekly,18339,3.0
Variety,18339,3.0
indieWIRE,18339,3.0
San Francisco Chronicle,18339,2.5
New York Times,18339,2.0
Le Figaro,25457,4.0
Le Monde,25457,4.0
Les Inrockuptibles,25457,4.0
Première,25457,4.0
Télérama,25457,4.0
Le Parisien,25457,3.5
Les Echos,25457,3.5
Libération,25457,2.5
Télé 7 Jours,23123,4.0
Télé Loisirs,23123,4.0
Paris Match,23123,3.5
Le Parisien,23123,3.0
Télé 2 semaines,23123,3.0
Télérama,23123,2.0
Gala,26049,4.0
Le Parisien,26049,4.0
Télé Câble Sat,26049,2.5
Ouest France,26049,2.0
Le Figaro,27279,4.0
Le Parisien,27279,4.0
Télé 7 Jours,27279,4.0
Télé Loisirs,27279,4.0
Télé Z,27279,3.5
Le Point,27279,3.0
20 Minutes,25777,4.0
Télé Câble Sat,25777,4.0
Télérama,25777,4.0
Télé 7 Jours,25777,3.5
L'Humanité,25777,3.0
Le Parisien,25777,3.0
Télé Loisirs,25777,3.0
Les Inrockuptibles,25777,1.0
La Croix,24980,4.0
Le Parisien,24980,4.0
Les Echos,24980,4.0
Le Monde,24980,3.5
Le Figaro,24980,2.5
Le Parisien,28446,4.0
Nice-Matin,28446,4.0
Ouest France,28446,4.0
Première,28446,4.0
Télé Loisirs,28446,4.0
Télérama,28446,4.0
20 Minutes,28446,3.5
CNews,28446,3.5
IGN France,28446,3.5
Le Figaro,28446,3.5
Ecran Large,28446,3.0
Première,23949,4.5
USA Today,23949,4.5
Le Parisien,23949,4.0
The Hollywood Reporter,23949,4.0
LCI,23949,3.5
TVLine,23949,3.5
Variety,23949,3.5
Entertainment weekly,23949,2.5
Entertainment weekly,19992,5.0
Boston Globe,19992,4.5
Los Angeles Times,19992,4.0
Uncle Barky,19992,4.0
Washington Post,19992,4.0
New York Post,19992,3.5
The Hollywood Reporter,19992,3.5
Collider,19992,3.0
Slate,19992,2.5
Variety,19992,2.5
Première,19792,3.5
Télérama,19792,3.0
Brain Damaged,19792,2.0
Critictoo,19792,2.0
Hollywood Reporter,23715,3.5
Le Parisien,23715,3.0
Le Monde,23715,2.5
Première,23715,2.5
Entertainment weekly,21210,5.0
New York Post,21210,4.0
San Francisco Chronicle,21210,4.0
USA Today,21210,4.0
Yahoo TV,21210,4.0
Boston Herald,21210,3.0
Variety,21210,3.0
The Hollywood Reporter,21210,2.5
We Got This Covered,21210,2.0
Le Parisien,20012,4.0
Les Inrockuptibles,20012,3.5
Télérama,20012,1.5
Le Parisien,25660,4.5
Télé Câble Sat,25660,4.5
Le Journal du Dimanche,25660,4.0
Le Point,25660,4.0
Les Inrockuptibles,25660,4.0
Variety,25660,4.0
Première,25660,3.5
The Hollywood Reporter,25660,3.0
Le Parisien,24633,4.0
Collider,24633,3.5
RogerEbert.com,24633,3.5
San Francisco Chronicle,24633,3.5
The A.V. Club,24633,3.5
The Hollywood Reporter,24633,3.5
Ecran Large,24633,3.0
The Telegraph,24633,3.0
Télérama,24633,3.0
CNN,24255,4.0
Wall Street Journal,24255,4.0
Washington Post,24255,4.0
TV Guide,24255,3.5
Les Inrockuptibles,24255,3.0
RogerEbert.com,24255,2.5
indieWIRE,24255,2.5
Variety,24255,2.0
Blabla-Séries,17907,4.5
L'Obs,17907,4.0
Le Monde,17907,4.0
Libération,17907,4.0
Arte,17907,3.5
Critictoo,17907,3.0
Télérama,17907,3.0
L'Humanité,17907,2.0
DailyMars,17907,1.5
Le Monde,21504,4.5
Le Point,21504,4.0
Ecran Large,21504,2.5
Les Inrockuptibles,21504,2.5
Télérama,21504,2.5
aVoir-aLire.com,21504,1.5
Télé Loisirs,27384,4.0
Le Parisien,27384,3.5
Télé 7 Jours,27384,3.5
Téléstar,27384,3.5
Télérama,27384,2.0
Ouest France,27384,1.5
Season One,5019,4.5
Télérama,5019,4.5
20 Minutes,5019,4.0
Le Monde,5019,4.0
Les Inrockuptibles,5019,4.0
Paris Match,5019,4.0
Première,5019,4.0
Sud Ouest,5019,4.0
Critictoo,5019,3.5
DailyMars,5019,3.5
Arte,5019,3.0
New York Post,3517,4.5
Entertainment weekly,3517,4.0
Newsday,3517,4.0
San Jose Mercury News,3517,4.0
TV Guide,3517,4.0
The Hollywood Reporter,3517,4.0
Time,3517,4.0
Pittsburg Post-Gazette,3517,3.5
Slate,3517,3.0
Chicago Sun-Times,3517,2.5
Le Parisien,22269,5.0
Brain Damaged,22269,4.5
Critictoo,22269,4.5
Ecran Large,22269,4.5
Elle,22269,4.5
L'Humanité,22269,4.5
Les Fiches du Cinéma,22269,4.5
Les Inrockuptibles,22269,4.5
Première,22269,4.5
Télé Loisirs,22269,4.5
20 Minutes,22269,4.0
Le Figaro Magazine,22269,4.0
Le Monde,22269,4.0
Télé 2 semaines,22269,4.0
Télé 7 Jours,22269,4.0
Télérama,22269,4.0
L'Express,22269,3.0
Le Figaro,23331,3.5
Le Parisien,23331,3.5
Télé Loisirs,23331,3.0
Télérama,23331,2.5
Libération,23331,1.5
Boston Herald,10001,5.0
Entertainment weekly,10001,5.0
Miami Herald,10001,5.0
San Jose Mercury News,10001,5.0
Newsday,10001,4.0
San Francisco Chronicle,10001,4.0
Slant Magazine,10001,4.0
New York Times,10001,3.0
Red Eye,10001,3.0
The Hollywood Reporter,10001,3.0
Variety,10001,3.0
Hitfix,10001,1.5
20 Minutes,20328,4.5
Première,20328,4.5
Télé Loisirs,20328,4.5
Télérama,20328,4.5
Critictoo,20328,4.0
aVoir-aLire.com,20328,4.0
Vanity Fair,20328,3.5
Ecran Large,20328,2.0
Le Parisien,26901,4.0
Télé 7 Jours,26901,4.0
Télé Z,26901,4.0
Sud Ouest,26901,3.5
Télé Loisirs,26901,3.0
Télérama,26901,3.0
Chicago Sun-Times,19982,3.5
Pittsburg Post-Gazette,19982,3.0
Vanity Fair,19982,3.0
TVLine,19982,2.5
indieWIRE,19982,2.5
Collider,19982,2.0
Hollywood Reporter,19982,2.0
Les Inrockuptibles,19982,2.0
Time,19982,2.0
Variety,19982,2.0
Wall Street Journal,19982,2.0
New York Times,19982,1.5
Le Parisien,25364,4.0
The Guardian,25364,4.0
20 Minutes,25364,3.5
CNN,25364,3.5
Première,25364,3.5
TV Guide,25364,3.0
The A.V. Club,25364,3.0
The Hollywood Reporter,25364,3.0
Rolling Stone,25364,2.0
Variety,25364,2.0
The Hollywood Reporter,11042,5.0
USA Today,11042,5.0
Boston Globe,11042,4.5
Variety,11042,4.5
Denver Post,11042,4.0
Vulture,11042,4.0
Philadelphia Inquirer,11042,3.5
Slant Magazine,11042,3.0
PopMatters,11042,2.5
Slate,11042,2.5
Collider,22769,4.0
Hollywood Reporter,22769,3.5
Rolling Stone,22769,3.0
Slate,22769,2.5
indieWIRE,22769,2.5
Variety,22769,2.0
Denver Post,16958,4.5
New York Daily News,16958,4.5
Slate,16958,4.5
New York Post,16958,4.0
RogerEbert.com,16958,4.0
The A.V. Club,16958,4.0
Entertainment weekly,16958,3.5
New York Times,16958,3.5
The Hollywood Reporter,16958,3.5
Vulture,16958,2.5
Télé 2 semaines,24967,4.0
Télé 7 Jours,24967,4.0
Le Figaro Magazine,24967,3.5
Télé Loisirs,24967,3.5
L'Humanité,24967,3.0
Le Monde,24293,4.0
Première,24293,4.0
Libération,24293,3.5
Les Inrockuptibles,24293,3.0
Ouest France,24293,2.5
Télérama,24293,2.5
TV Guide,22019,4.0
Entertainment weekly,22019,3.5
Le Parisien,22019,3.5
Metro UK,22019,3.5
Le Figaro,22019,3.0
Première,22019,3.0
The Guardian,22019,3.0
Le Monde,22019,2.5
CNN,22019,2.0
Ecran Large,22019,2.0
The Hollywood Reporter,22019,1.5
Washington Post,22019,1.5
New York Times,22019,1.0
Télérama,22019,1.0
Voici,24218,4.0
20 Minutes,24218,3.5
Huffington Post,24218,3.0
L'Express,24218,3.0
Le Parisien,24218,3.0
Télérama,24218,3.0
Le Figaro,24218,2.5
aVoir-aLire.com,24218,2.5
Première,24218,2.0
Le Monde,24218,1.0
Les Inrockuptibles,24218,1.0
Le Figaro,19162,4.5
20 Minutes,19162,4.0
Boston Globe,19162,4.0
CNN,19162,4.0
Le Monde,19162,4.0
Télé Loisirs,19162,4.0
Variety,19162,4.0
Le Parisien,19162,3.5
Les Echos,19162,3.5
La Croix,19162,3.0
20 Minutes,25856,4.0
Le Parisien,25856,4.0
Télé Loisirs,25856,4.0
Le Dauphiné Libéré,25856,3.5
Marianne,25856,3.5
Première,25856,3.5
Le Figaro,25856,2.5
Le Monde,17598,4.0
Le Parisien,17598,4.0
Première,17598,4.0
Télé Loisirs,17598,4.0
Le Point,17598,3.5
Les Inrockuptibles,17598,3.5
Télérama,17598,3.5
Collider,24064,4.0
indieWIRE,24064,4.0
New York Post,24064,3.0
The Guardian,24064,3.0
Variety,24064,3.0
Le Figaro,24064,2.0
The Hollywood Reporter,24064,2.0
Washington Post,11871,4.5
Pittsburg Post-Gazette,11871,4.0
Huffington Post,11871,3.5
The Detroit News,11871,3.5
Télé Loisirs,11871,3.5
Critictoo,11871,3.0
Télérama,11871,3.0
San Francisco Chronicle,11871,2.5
New York Post,11871,1.0
Collider,22668,5.0
Boston Globe,22668,4.0
TV Guide,22668,4.0
Télérama,22668,4.0
indieWIRE,22668,4.0
Le Point,22668,3.5
The Hollywood Reporter,22668,3.5
Variety,22668,2.5
RogerEbert.com,22668,2.0
The Guardian,27552,3.0
The Independent,27552,3.0
Télérama,27552,2.5
The Telegraph,27552,2.0
indieWIRE,27552,1.5
TV Guide,22146,4.0
New York Times,22146,3.0
Variety,22146,3.0
Slant Magazine,22146,2.5
The Hollywood Reporter,22146,2.5
Entertainment weekly,22146,0.5
Collider,25165,4.0
Le Journal du Geek,25165,3.5
Rolling Stone,25165,3.5
Variety,25165,3.5
Le Point,25165,3.0
Télérama,25165,3.0
The Hollywood Reporter,25165,2.5
New York Times,25165,2.0
San Francisco Chronicle,7634,5.0
The Hollywood Reporter,7634,5.0
Zap2It,7634,4.5
Hitfix,7634,4.0
New York Times,7634,4.0
Pittsburg Post-Gazette,7634,3.5
Uncle Barky,7634,2.5
USA Today,7634,2.0
Variety,7634,2.0
Boston Herald,7634,1.5
Ecran Large,23820,4.0
Le Figaro,23820,4.0
Le Monde,23820,4.0
Le Parisien,23820,4.0
Première,23820,4.0
The Guardian,23820,4.0
Télérama,23820,3.0
Boston Herald,18145,4.0
St. Louis Post-Dispatch,18145,3.0
Los Angeles Times,18145,2.5
San Francisco Chronicle,18145,2.0
TV Guide,18145,2.0
Variety,18145,1.5
Hitfix,18145,0.5
Yahoo TV,18145,0.5
Le Parisien,25515,4.0
20 Minutes,25515,2.5
Le Figaro,25515,2.0
The A.V. Club,25515,2.0
The Guardian,25515,2.0
Time,25515,1.5
Variety,25515,1.5
Télérama,25515,1.0
Metro UK,24893,3.0
Salon.com,24893,3.0
The Guardian,24893,3.0
The Independent,24893,3.0
Ecran Large,11058,5.0
San Francisco Chronicle,11058,5.0
The Hollywood Reporter,11058,3.0
USA Today,11058,5.0
Variety,11058,3.0
Le Monde,11058,4.5
Les Inrockuptibles,11058,4.5
Libération,11058,4.5
Télé Loisirs,11058,4.5
Entertainment weekly,11058,4.0
L'Express,11058,4.0
L'Obs,11058,4.0
Slate,11058,4.0
Télérama,11058,4.0
DailyMars,11058,3.5
New York Post,11058,3.5
Time,11058,3.5
New York Times,11058,2.5
Washington Post,11058,2.5
Arte,11058,2.0
Critictoo,11058,0.5
TV Guide,22963,4.5
Washington Post,22963,4.0
The Hollywood Reporter,22963,3.5
Variety,22963,3.5
Entertainment weekly,22963,3.0
USA Today,22963,3.0
Vanity Fair,22963,3.0
Slate,22963,2.0
Salon.com,21670,3.5
Variety,21670,3.5
Collider,21670,3.0
Entertainment weekly,21670,3.0
New York Post,21670,3.0
Newsday,21670,2.5
San Francisco Chronicle,21670,2.5
Uncle Barky,21670,2.5
Vulture,23246,5.0
aVoir-aLire.com,23246,5.0
Entertainment weekly,23246,4.5
Hollywood Reporter,23246,4.5
RogerEbert.com,23246,4.5
Rolling Stone,23246,4.5
Time,23246,4.5
Variety,23246,4.5
Le Parisien,23246,4.0
Boston Herald,221,5.0
San Francisco Chronicle,221,5.0
USA Today,221,5.0
San Jose Mercury News,221,4.5
Washington Post,221,4.5
Miami Herald,221,4.0
New York Daily News,221,4.0
Pittsburg Post-Gazette,221,4.0
New York Times,221,3.0
New York Post,221,2.5
Los Angeles Times,221,2.0
Chicago Sun-Times,221,1.5
Le Figaro,27496,4.0
Le Parisien,27496,4.0
Wall Street Journal,27496,4.0
20 Minutes,27496,3.0
CNN,27496,3.0
indieWIRE,27496,2.5
The Guardian,27496,2.0
The A.V. Club,18890,3.5
Uncle Barky,18890,3.5
Critictoo,18890,3.0
Le Figaro,18890,3.0
Le Parisien,18890,3.0
Télé Loisirs,18890,3.0
New York Post,18890,2.5
New York Times,18890,2.5
The Salt Lake Tribune,18890,2.5
Télérama,18890,2.5
USA Today,18890,2.5
Variety,18890,2.5
The Hollywood Reporter,18890,1.5
Newsday,8644,4.0
Boston Herald,8644,3.5
Miami Herald,8644,3.5
Entertainment weekly,8644,3.0
Los Angeles Times,8644,3.0
Pittsburg Post-Gazette,8644,2.5
Boston Globe,8644,2.0
New York Times,8644,2.0
Variety,8644,1.5
Ecran Large,20143,4.5
Le Monde,20143,4.5
Cosmopolitan,20143,4.0
Elle,20143,4.0
GQ,20143,4.0
L'Obs,20143,4.0
Le Figaro Magazine,20143,4.0
Le Point,20143,4.0
Première,20143,4.0
Public,20143,4.0
Télérama,20143,4.0
Les Inrockuptibles,20143,3.5
Sud Ouest,20143,3.5
indieWIRE,18897,4.5
Entertainment weekly,18897,4.0
New York Times,18897,4.0
New Yorker,18897,4.0
The Hollywood Reporter,18897,3.5
Variety,18897,3.5
Collider,18897,3.0
New York Post,18897,2.5
Le Parisien,25585,4.0
Ecran Large,25585,2.5
Télérama,25585,2.5
aVoir-aLire.com,25585,1.0
Le Point,22367,4.5
Première,22367,4.5
Ecran Large,22367,3.5
L'Express,22367,3.5
Les Inrockuptibles,22367,3.5
Brain Damaged,22367,2.5
Critictoo,22367,2.5
Télérama,22367,2.0
Colorado Springs Gazette,16930,5.0
We Got This Covered,16930,5.0
Newsday,16930,4.5
TV Guide,16930,4.5
TVLine,16930,4.5
Blabla-Séries,16930,4.0
Collider,16930,4.0
Critictoo,16930,4.0
L'Obs,16930,4.0
Le Monde,16930,4.0
Les Inrockuptibles,16930,4.0
Paris Match,16930,4.0
The Hollywood Reporter,16930,4.0
The Wrap,16930,4.0
Télé Loisirs,16930,4.0
DailyMars,16930,3.5
Le Point,16930,3.5
Télérama,16930,3.5
Hitfix,16930,3.0
Las Vegas Weekly,16930,3.0
Salon.com,16930,2.5
Variety,16930,1.5
Brain Damaged,17966,5.0
Blabla-Séries,17966,4.5
DailyMars,17966,4.5
Le Monde,17966,4.5
Arte,17966,4.0
Critictoo,17966,4.0
Ecran Large,17966,4.0
Les Inrockuptibles,17966,4.0
Télérama,17966,4.0
San Francisco Chronicle,9290,5.0
Entertainment weekly,9290,4.5
TV Guide,9290,4.5
The Hollywood Reporter,9290,4.0
Philadelphia Daily News,9290,3.5
Boston Globe,9290,3.0
Hitfix,9290,3.0
Pittsburg Post-Gazette,9290,2.5
Slant Magazine,9290,1.5
Le Parisien,25183,5.0
Télé 7 Jours,25183,5.0
Télé Câble Sat,25183,5.0
Télé Loisirs,25183,4.5
Télérama,25183,4.5
Les Inrockuptibles,25183,4.0
Le Parisien,27529,4.0
The A.V. Club,27529,4.0
Wall Street Journal,27529,4.0
The Guardian,27529,3.0
Télérama,27529,3.0
Variety,27529,3.0
indieWIRE,27529,3.0
Ecran Large,27529,2.0
Philadelphia Inquirer,12275,4.0
New York Times,12275,3.5
Newsday,12275,3.5
Boston Herald,12275,3.0
Los Angeles Times,12275,2.5
San Francisco Chronicle,12275,2.5
Slant Magazine,12275,2.5
Uncle Barky,12275,2.5
The Hollywood Reporter,12275,2.0
Entertainment weekly,451,4.5
Chicago Sun-Times,451,4.0
Slant Magazine,451,3.5
Salon.com,451,3.0
Time,451,3.0
New York Daily News,451,2.5
Pittsburg Post-Gazette,451,2.0
Washington Post,451,0.5
Time,24971,5.0
Télérama,24971,4.5
Wall Street Journal,24971,4.5
RogerEbert.com,24971,4.0
Ecran Large,24971,3.5
Les Inrockuptibles,24971,3.0
Collider,24971,2.5
Daily Beast,24693,4.5
Le Figaro,24693,4.5
Le Monde,24693,4.5
USA Today,24693,4.5
Vanity Fair,24693,4.5
CNN,24693,4.0
Collider,24693,4.0
Time,24693,4.0
Wall Street Journal,24693,4.0
indieWIRE,24693,4.0
Les Inrockuptibles,24693,3.0
Télérama,24693,3.0
Le Parisien,23381,5.0
Critictoo,23381,4.5
L'Express,23381,4.5
Le Figaro Magazine,23381,4.5
Le Monde,23381,4.5
Télé Loisirs,23381,4.5
Vanity Fair,23381,4.5
Les Inrockuptibles,23381,4.0
Télérama,23381,4.0
Collider,25809,4.0
Entertainment weekly,25809,4.0
TV Guide,25809,4.0
TVLine,25809,4.0
CNN,25809,3.5
The Hollywood Reporter,25809,2.5
Variety,25809,2.0
Uncle Barky,18045,4.5
Newsday,18045,4.0
Entertainment weekly,18045,3.0
Los Angeles Times,18045,3.0
Pittsburg Post-Gazette,18045,2.5
San Francisco Chronicle,18045,2.5
USA Today,18045,2.5
Variety,18045,2.0
Collider,18045,1.0
Chicago Sun-Times,16973,4.0
Newsday,16973,4.0
Uncle Barky,16973,4.0
Washington Post,16973,4.0
Entertainment weekly,16973,3.5
New York Times,16973,3.5
Philadelphia Inquirer,16973,3.5
Pittsburg Post-Gazette,16973,3.0
Vulture,16973,3.0
Collider,20697,4.5
RogerEbert.com,20697,4.5
The Hollywood Reporter,20697,4.5
indieWIRE,20697,4.5
TV Guide,20697,3.5
Boston Herald,20697,3.0
Entertainment weekly,20697,3.0
Newsday,20697,3.0
USA Today,20697,2.0
Slate,29898,4.0
Télé Loisirs,29898,4.0
Ecran Large,29898,3.5
IGN France,29898,3.5
The Guardian,29898,3.5
Télérama,29898,3.0
Entertainment weekly,17157,5.0
Boston Herald,17157,4.0
Newsday,17157,4.0
The A.V. Club,17157,4.0
People Weekly,17157,3.5
Pittsburg Post-Gazette,17157,3.5
Chicago Sun-Times,17157,3.0
Vulture,17157,3.0
New York Daily News,17157,2.0
Huffington Post,9285,5.0
Los Angeles Times,9285,5.0
New York Post,9285,5.0
Philadelphia Inquirer,9285,5.0
Time,9285,5.0
USA Today,9285,5.0
Uncle Barky,9285,5.0
New York Times,9285,4.5
Slant Magazine,9285,3.5
San Jose Mercury News,9285,3.0
Télé 7 Jours,21058,4.0
Télé Loisirs,21058,4.0
Critictoo,21058,3.5
Entertainment weekly,21058,3.0
Newsday,21058,2.5
Pittsburg Post-Gazette,21058,2.5
Télé 2 semaines,21058,2.5
Uncle Barky,21058,2.5
Yahoo TV,21058,2.5
Le Parisien,21058,2.0
USA Today,21058,2.0
San Francisco Chronicle,21058,1.5
The A.V. Club,21058,1.5
CNN,25554,2.5
Chicago Sun-Times,25554,2.5
Hollywood Reporter,25554,2.0
The Guardian,25554,2.0
Variety,25554,2.0
Collider,24647,4.5
Les Inrockuptibles,24647,4.0
Télé Loisirs,24647,4.0
Le Journal du Geek,24647,3.5
Le Parisien,24647,3.5
Première,24647,3.5
Ecran Large,24647,3.0
The Hollywood Reporter,24647,2.5
San Francisco Chronicle,26455,3.5
Télé Loisirs,26455,3.5
Ecran Large,26455,3.0
Le Parisien,26455,3.0
Variety,26455,2.5
Washington Post,18159,5.0
Hitfix,18159,4.5
Huffington Post,18159,4.0
San Jose Mercury News,18159,4.0
St. Louis Post-Dispatch,18159,4.0
The Hollywood Reporter,18159,4.0
Variety,18159,4.0
New York Times,18159,3.5
San Francisco Chronicle,18159,2.5
New York Daily News,8210,5.0
New York Post,8210,5.0
